code,cohort
6115,1
6118,1
6119,1
6122,1
6123,1
6124,1
6125,1
6126,1
6128,1
6131,1
6132,1
6133,1
6134,1
6136,1
6137,1
6138,1
6140,1
6141,1
6142,1
6145,1
6148,1
6149,1
6150,1
6151,1
6153,1
6154,1
6163,1
6166,1
6169,1
6172,1
6173,1
6174,1
6177,1
6180,1
6184,1
6188,1
6189,1
6191,1
6192,1
6193,1
6194,1
6195,1
6198,1
6201,1
6202,1
6203,1
6209,1
6210,1
6214,1
6216,1
6217,1
6218,1
6220,1
6221,1
6231,1
6235,1
6237,1
6238,1
6240,1
6241,1
6242,1
6243,1
6244,1
6252,1
6255,1
6258,1
6268,1
6276,1
6284,1
6296,1
6390,1
6396,1
6413,1
6424,1
6434,1
6445,1
6680,1
6739,1
6740,2
6744,2
6749,2
6750,2
6805,2
6806,2
6814,2
6830,2
6897,2
6898,2
6900,2
6901,2
6903,2
6904,2
6907,2
6908,2
6909,2
6911,2
6913,2
6915,2
6917,2
6918,2
6919,2
6920,2
6922,2
6923,2
6924,2
6926,2
6927,2
6929,2
6931,2
6932,2
6933,2
6938,2
6940,2
6943,2
6944,2
6945,2
6951,2
6956,2
6957,2
6958,2
6959,2
6960,2
6961,2
6963,2
6966,2
6967,2
6968,2
6969,2
6970,2
6971,2
6973,2
6974,2
6975,2
6976,2
6979,2
6981,2
6982,2
6984,2
6986,2
6987,2
6989,2
6990,2
6992,2
6997,2
7000,2
7002,2
7003,2
7008,2
7013,2
7014,2
7025,2
7026,2
7028,2
7031,2
7033,2
7036,2
7058,2
7061,2
7062,2
7063,2
7064,2
7067,2
7068,2
7071,2
7072,2
7077,2
7081,2
7092,2
7094,2
7096,2
7102,2
7103,2
7106,2
7107,2
7109,2
7111,2
7117,2
7119,2
7120,2
7125,2
7126,2
7127,2
7130,2
7133,2
7138,2
7143,2
7147,2
7158,2
7160,2
7161,2
7162,2
7163,2
7164,2
7165,2
7169,2
7177,2
7181,2
7183,2
7186,2
7192,2
7199,2
7202,2
7203,2
7207,2
7208,2
7209,2
7213,2
7217,2
7218,2
7223,2
7231,2
7236,2
7244,2
7248,2
7250,2
7255,2
7258,2
7268,2
7273,2
7276,2
7280,2
7282,2
7287,2
7288,2
7296,2
7298,2
7305,2
7306,2
7307,2
7314,2
7316,2
7319,2
7320,2
7322,2
7323,2
7327,2
7328,2
7332,2
7333,2
7337,2
7342,2
7343,2
7344,2
7346,2
7347,2
7349,2
7350,2
7353,2
7354,2
7356,2
7358,2
7359,2
7372,2
7373,2
7377,2
7378,2
7382,2
7383,2
7384,2
7387,2
7394,2
7396,2
7404,2
7411,2
7413,2
7415,2
7416,2
7417,2
7418,2
7419,2
7424,2
7427,2
7430,2
7460,2
7461,2
7471,2
7475,2
7477,2
7514,2
7515,2
7516,2
7517,2
7520,2
7521,2
7523,2
7525,2
7529,2
7530,2
7566,2
7568,2
7717,2
7757,2
7767,2
7917,2
7947,2
8037,2
8057,2
8077,2
8132,2
8171,2
8214,2
8222,2
8227,2
8230,2
8231,2
8233,2
8234,2
8235,2
8236,2
8237,2
8238,2
8239,2
8240,2
8241,2
8242,2
8243,2
8244,2
8246,2
8247,2
8249,2
8256,2
8258,2
8259,2
8264,2
8283,2
8284,2
8285,2
8290,2
8297,2
8306,2
8307,2
8311,2
8312,2
8326,2
8334,2
8335,2
8337,2
8343,2
8351,2
8354,2
8357,2
8365,2
8366,2
8369,2
8376,2
8386,2
8387,2
8419,2
8420,2
8422,2
8424,2
8426,2
8427,2
8464,2
8483,2
8699,2
8723,2
9027,2
9057,2
9058,2
9067,2
9069,2
9070,2
9075,2
9078,2
9079,2
9081,2
9084,2
9085,2
9089,2
9091,2
9095,2
9099,2
9100,2
9102,2
9103,2
9104,2
9105,2
9106,2
9111,2
9113,2
9114,2
9115,2
9121,2
9125,2
9128,2
9130,2
9131,2
9133,2
9134,2
9298,2
9312,3
9314,3
9321,3
9323,3
9332,3
9336,3
9339,3
9343,3
9352,3
9353,3
9363,3
9369,3
9370,3
9371,3
9380,3
9381,3
9382,3
9383,3
9386,3
9388,3
9390,3
9391,3
9392,3
9394,3
9395,3
9399,3
9402,3
9404,3
9405,3
9407,3
9408,3
9409,3
9412,3
9413,3
9416,3
9421,3
9427,3
9433,3
9436,3
9437,3
9442,3
9450,3
9451,3
9452,3
9453,3
9454,3
9455,3
9470,3
9471,3
9476,3
9481,3
9503,3
9506,3
9507,3
9508,3
9509,3
9510,3
9511,3
9512,3
9513,3
9514,3
9515,3
9517,3
9518,3
9519,3
9520,3
9521,3
9522,3
9523,3
9524,3
9525,3
9526,3
9527,3
9528,3
9529,3
9530,3
9531,3
9532,3
9533,3
9534,3
9535,3
9536,3
9537,3
9539,3
9540,3
9541,3
9542,3
9543,3
9544,3
9545,3
9546,3
9547,3
9548,3
9549,3
9550,3
9551,3
9552,3
9553,3
9554,3
9555,3
9556,3
9557,3
9558,3
9559,3
9560,3
9561,3
9562,3
9564,3
9565,3
9567,3
9568,3
9569,3
9571,3
9573,3
9574,3
9576,3
9577,3
9578,3
9579,3
9581,3
9582,3
9583,3
9584,3
9585,3
9586,3
9587,3
9588,3
9589,3
9590,3
9591,3
9592,3
9593,3
9594,3
9595,3
9596,3
9597,3
9598,3
9599,3
9600,3
9601,3
9602,3
9606,3
9607,3
9608,3
9609,3
9610,3
9611,3
9612,3
9613,3
9615,3
9616,3
9617,3
9619,3
9620,3
9621,3
9622,3
9624,3
9625,3
9626,3
9627,3
9628,3
9629,3
9630,3
9631,3
9632,3
9633,3
9634,3
9635,3
9636,3
9637,3
9638,3
9639,3
9640,3
9641,3
9642,3
9643,3
9644,3
9645,3
9646,3
9647,3
9648,3
9649,3
9651,3
9653,3
9655,3
9656,3
9657,3
9658,3
9659,3
9660,3
9661,3
9663,3
9664,3
9665,3
9666,3
9667,3
9668,3
9669,3
