"V1" "V2"
"706" "no" "blue"
"707" "no" "blue"
"708" "no" "blue"
"709" "no" "blue"
"710" "no" "blue"
"711" "no" "blue"
"712" "no" "blue"
"713" "no" "blue"
"714" "no" "blue"
"715" "no" "blue"
"716" "no" "blue"
"717" "no" "blue"
"718" "no" "blue"
"719" "no" "blue"
"720" "no" "blue"
"721" "no" "blue"
"722" "no" "blue"
"723" "no" "blue"
"724" "9588.fastaAT2G14080.bed.fasta.70.txt" "green"
"725" "no" "blue"
"726" "no" "blue"
"727" "no" "blue"
"728" "no" "blue"
"729" "no" "blue"
"730" "no" "blue"
"731" "no" "blue"
"732" "no" "blue"
"733" "no" "blue"
"734" "no" "blue"
"735" "9601.fastaAT2G14080.bed.fasta.70.txt" "green"
"736" "no" "blue"
"737" "no" "blue"
"738" "no" "blue"
"739" "no" "blue"
"740" "no" "blue"
"741" "no" "blue"
"742" "no" "blue"
"743" "no" "blue"
"744" "no" "blue"
"745" "no" "blue"
"746" "no" "blue"
"747" "no" "blue"
"748" "no" "blue"
"749" "9621.fastaAT2G14080.bed.fasta.70.txt" "green"
"750" "9622.fastaAT2G14080.bed.fasta.70.txt" "red"
"751" "no" "blue"
"752" "no" "blue"
"753" "no" "blue"
"754" "no" "blue"
"755" "no" "blue"
"756" "no" "blue"
"757" "no" "blue"
"758" "no" "blue"
"759" "no" "blue"
"760" "no" "blue"
"761" "no" "blue"
"762" "no" "blue"
"763" "no" "blue"
"764" "no" "blue"
"765" "9638.fastaAT2G14080.bed.fasta.70.txt" "green"
"766" "no" "blue"
"767" "no" "blue"
"768" "no" "blue"
"769" "no" "blue"
"770" "no" "blue"
"771" "no" "blue"
"772" "no" "blue"
"773" "no" "blue"
"774" "no" "blue"
"775" "no" "blue"
"776" "no" "blue"
"777" "no" "blue"
"778" "no" "blue"
"779" "no" "blue"
"780" "no" "blue"
"781" "no" "blue"
"782" "no" "blue"
"783" "no" "blue"
"784" "no" "blue"
"785" "no" "blue"
"786" "no" "blue"
"787" "no" "blue"
"788" "no" "blue"
"789" "no" "blue"
"790" "no" "blue"
"791" "no" "blue"
"792" "no" "blue"
"793" "no" "blue"
"794" "no" "blue"
"795" "no" "blue"
"796" "no" "blue"
"797" "no" "blue"
"798" "no" "blue"
"799" "9679.fastaAT2G14080.bed.fasta.70.txt" "green"
"800" "no" "blue"
"801" "no" "blue"
"802" "no" "blue"
"803" "no" "blue"
"804" "no" "blue"
"805" "no" "blue"
"806" "no" "blue"
"807" "no" "blue"
"808" "no" "blue"
"809" "no" "blue"
"810" "no" "blue"
"811" "no" "blue"
"812" "no" "blue"
"813" "no" "blue"
"814" "no" "blue"
"815" "no" "blue"
"816" "no" "blue"
"817" "no" "blue"
"818" "no" "blue"
"819" "no" "blue"
"820" "9701.fastaAT2G14080.bed.fasta.70.txt" "green"
"821" "no" "blue"
"822" "no" "blue"
"823" "no" "blue"
"824" "9706.fastaAT2G14080.bed.fasta.70.txt" "green"
"825" "no" "blue"
"826" "no" "blue"
"827" "no" "blue"
"828" "no" "blue"
"829" "no" "blue"
"830" "no" "blue"
"831" "no" "blue"
"832" "no" "blue"
"833" "no" "blue"
"834" "9717.fastaAT2G14080.bed.fasta.70.txt" "green"
"835" "no" "blue"
"836" "no" "blue"
"837" "no" "blue"
"838" "no" "blue"
"839" "no" "blue"
"840" "no" "blue"
"841" "no" "blue"
"842" "no" "blue"
"843" "9728.fastaAT2G14080.bed.fasta.70.txt" "green"
"844" "no" "blue"
"845" "no" "blue"
"846" "no" "blue"
"847" "no" "blue"
"848" "no" "blue"
"849" "no" "blue"
"850" "no" "blue"
"851" "9738.fastaAT2G14080.bed.fasta.70.txt" "green"
"852" "no" "blue"
"853" "no" "blue"
"854" "no" "blue"
"855" "no" "blue"
"856" "no" "blue"
"857" "no" "blue"
"858" "no" "blue"
"859" "no" "blue"
"860" "no" "blue"
"861" "no" "blue"
"862" "no" "blue"
"863" "no" "blue"
"864" "no" "blue"
"865" "no" "blue"
"866" "no" "blue"
"867" "9764.fastaAT2G14080.bed.fasta.70.txt" "green"
"868" "no" "blue"
"869" "no" "blue"
"870" "no" "blue"
"871" "no" "blue"
"872" "no" "blue"
"873" "no" "blue"
"874" "no" "blue"
"875" "no" "blue"
"876" "no" "blue"
"877" "no" "blue"
"878" "no" "blue"
"879" "no" "blue"
"880" "no" "blue"
"881" "no" "blue"
"882" "no" "blue"
"883" "no" "blue"
"884" "no" "blue"
"885" "no" "blue"
"886" "no" "blue"
"887" "no" "blue"
"888" "no" "blue"
"889" "9789.fastaAT2G14080.bed.fasta.70.txt" "green"
"890" "no" "blue"
"891" "no" "blue"
"892" "9792.fastaAT2G14080.bed.fasta.70.txt" "green"
"893" "no" "blue"
"894" "no" "blue"
"895" "no" "blue"
"896" "no" "blue"
"897" "no" "blue"
"898" "no" "blue"
"899" "no" "blue"
"900" "no" "blue"
"901" "no" "blue"
"902" "no" "blue"
"903" "no" "blue"
"904" "no" "blue"
"905" "9805.fastaAT2G14080.bed.fasta.70.txt" "green"
"906" "no" "blue"
"907" "no" "blue"
"908" "9808.fastaAT2G14080.bed.fasta.70.txt" "green"
"909" "no" "blue"
"910" "no" "blue"
"911" "no" "blue"
"912" "no" "blue"
"913" "no" "blue"
"914" "no" "blue"
"915" "no" "blue"
"916" "no" "blue"
"917" "no" "blue"
"918" "no" "blue"
"919" "no" "blue"
"920" "no" "blue"
"921" "no" "blue"
"922" "no" "blue"
"923" "no" "blue"
"924" "no" "blue"
"925" "no" "blue"
"926" "9835.fastaAT2G14080.bed.fasta.70.txt" "green"
"927" "no" "blue"
"928" "no" "blue"
"929" "no" "blue"
"930" "no" "blue"
"931" "no" "blue"
"932" "no" "blue"
"933" "no" "blue"
"934" "no" "blue"
"935" "no" "blue"
"936" "no" "blue"
"937" "no" "blue"
"938" "no" "blue"
"939" "no" "blue"
"940" "no" "blue"
"941" "9858.fastaAT2G14080.bed.fasta.70.txt" "green"
"942" "no" "blue"
"943" "no" "blue"
"944" "no" "blue"
"945" "9862.fastaAT2G14080.bed.fasta.70.txt" "green"
"946" "no" "blue"
"947" "no" "blue"
"948" "no" "blue"
"949" "no" "blue"
"950" "9877.fastaAT2G14080.bed.fasta.70.txt" "green"
"951" "no" "blue"
"952" "no" "blue"
"953" "no" "blue"
"954" "no" "blue"
"955" "no" "blue"
"956" "no" "blue"
"957" "no" "blue"
"958" "no" "blue"
"959" "no" "blue"
"960" "9888.fastaAT2G14080.bed.fasta.70.txt" "green"
"961" "no" "blue"
"962" "no" "blue"
"963" "9892.fastaAT2G14080.bed.fasta.70.txt" "red"
"964" "no" "blue"
"965" "no" "blue"
"966" "no" "blue"
"967" "no" "blue"
"968" "no" "blue"
"969" "no" "blue"
"970" "no" "blue"
"971" "no" "blue"
"972" "9903.fastaAT2G14080.bed.fasta.70.txt" "red"
"973" "no" "blue"
"974" "9905.fastaAT2G14080.bed.fasta.70.txt" "green"
"975" "no" "blue"
"976" "no" "blue"
"977" "no" "blue"
"978" "no" "blue"
"979" "no" "blue"
"980" "9917.fastaAT2G14080.bed.fasta.70.txt" "green"
"981" "no" "blue"
"982" "no" "blue"
"983" "no" "blue"
"984" "no" "blue"
"985" "9927.fastaAT2G14080.bed.fasta.70.txt" "red"
"986" "no" "blue"
"987" "no" "blue"
"988" "no" "blue"
"989" "no" "blue"
"990" "no" "blue"
"991" "no" "blue"
"992" "no" "blue"
"993" "no" "blue"
"994" "no" "blue"
"995" "no" "blue"
"996" "no" "blue"
"997" "no" "blue"
