code,A,B,C,D
7186,0,1,0,0
7192,0,1,0,0
7199,0,1,0,0
7202,0,1,0,0
7203,0,1,0,0
7207,0,1,0,0
7208,0,1,0,0
7209,0,1,0,0
7213,0,1,0,0
7217,0,1,0,0
7218,0,1,0,0
7223,0,1,0,0
7231,0,1,0,0
7236,0,1,0,0
7244,0,1,0,0
7248,0,1,0,0
7250,0,1,0,0
7255,0,1,0,0
7258,0,1,0,0
7268,0,1,0,0
7273,0,1,0,0
7276,0,1,0,0
7280,0,1,0,0
7282,0,1,0,0
7287,0,1,0,0
7288,0,1,0,0
7296,0,1,0,0
7298,0,1,0,0
7305,0,1,0,0
7306,0,1,0,0
7307,0,1,0,0
7314,0,1,0,0
7316,0,1,0,0
7319,0,1,0,0
7320,0,1,0,0
7322,0,1,0,0
7323,0,1,0,0
7327,0,1,0,0
7328,0,1,0,0
7332,0,1,0,0
7333,0,1,0,0
7337,0,1,0,0
7342,0,1,0,0
7343,0,1,0,0
7344,0,1,0,0
7346,0,1,0,0
7347,0,1,0,0
7349,0,1,0,0
7350,0,1,0,0
7353,0,1,0,0
7354,0,1,0,0
7356,0,1,0,0
7358,0,1,0,0
7359,0,1,0,0
7372,0,1,0,0
7373,0,1,0,0
7378,0,1,0,0
7382,0,1,0,0
7383,0,1,0,0
7384,0,1,0,0
7387,0,1,0,0
7394,0,1,0,0
7396,0,1,0,0
7404,0,1,0,0
7411,0,1,0,0
7413,0,1,0,0
7416,0,1,0,0
7417,0,1,0,0
7418,0,1,0,0
7419,0,1,0,0
7424,0,1,0,0
7430,0,1,0,0
7460,0,1,0,0
7461,0,1,0,0
7471,0,1,0,0
7475,0,1,0,0
7477,0,1,0,0
7514,0,1,0,0
7515,0,1,0,0
7516,0,1,0,0
7517,0,1,0,0
7520,0,1,0,0
7521,0,1,0,0
7523,0,1,0,0
7525,0,1,0,0
7529,0,1,0,0
7530,0,1,0,0
7566,0,1,0,0
7568,0,1,0,0
7717,0,1,0,0
7757,0,1,0,0
7767,0,1,0,0
7917,0,1,0,0
7947,0,1,0,0
8037,0,1,0,0
8057,0,1,0,0
8077,0,1,0,0
8132,0,1,0,0
8171,0,1,0,0
8214,0,1,0,0
8222,0,1,0,0
8227,0,1,0,0
8230,0,1,0,0
8231,0,1,0,0
8233,0,1,0,0
8234,0,1,0,0
8235,0,1,0,0
8236,0,1,0,0
8237,0,1,0,0
8238,0,1,0,0
8239,0,1,0,0
8240,0,1,0,0
8241,0,1,0,0
8242,0,1,0,0
8243,0,1,0,0
8244,0,1,0,0
8246,0,1,0,0
8247,0,1,0,0
8249,0,1,0,0
8256,0,1,0,0
8259,0,1,0,0
8264,0,1,0,0
8283,0,1,0,0
8284,0,1,0,0
8285,0,1,0,0
8290,0,1,0,0
8297,0,1,0,0
8306,0,1,0,0
8307,0,1,0,0
8311,0,1,0,0
8312,0,1,0,0
8326,0,1,0,0
8334,0,1,0,0
8335,0,1,0,0
8337,0,1,0,0
8343,0,1,0,0
8351,0,1,0,0
8354,0,1,0,0
8357,0,1,0,0
8365,0,1,0,0
8366,0,1,0,0
8369,0,1,0,0
8376,0,1,0,0
8386,0,1,0,0
8419,0,1,0,0
8420,0,1,0,0
8422,0,1,0,0
8424,0,1,0,0
8426,0,1,0,0
8427,0,1,0,0
8483,0,1,0,0
8699,0,1,0,0
9027,0,1,0,0
9057,0,1,0,0
9058,0,1,0,0
9067,0,1,0,0
9069,0,1,0,0
9070,0,1,0,0
9075,0,1,0,0
9078,0,1,0,0
9079,0,1,0,0
9081,0,1,0,0
9084,0,1,0,0
9085,0,1,0,0
9089,0,1,0,0
9091,0,1,0,0
9095,0,1,0,0
9099,0,1,0,0
9100,0,1,0,0
9102,0,1,0,0
9103,0,1,0,0
9104,0,1,0,0
9105,0,1,0,0
9106,0,1,0,0
9111,0,1,0,0
9113,0,1,0,0
9114,0,1,0,0
9121,0,1,0,0
9125,0,1,0,0
9128,0,1,0,0
9130,0,1,0,0
9131,0,1,0,0
9133,0,1,0,0
9134,0,1,0,0
9298,0,1,0,0
