code,AUDPS_Anc_21,AUDPS_Evo_21,Infectivity_Anc_21,Infectivity_Evo_21,SYM_Anc,SYM_Evo,Necrosis_Anc,Necrosis_Evo
5253,9.427083333,10.4375,0.625,0.75,4,4,0,0
5276,2.78125,6.166666667,0.375,0.5,2,2,0,0
5279,5.541666667,7.166666667,0.5,0.5,2,3,0,0
5349,10.6875,4.145833333,0.75,0.25,2,2,0,0
5353,3.020833333,1.760416667,0.25,0.125,2,2,0,0
5395,3.270833333,8.802083333,0.25,0.625,3,3,0,0
5486,2.847222222,8.208333333,0.166666667,0.5,4,4,0,0
5577,1.510416667,4.15625,0.125,0.375,1,2,0,0
5644,4.541666667,4.270833333,0.5,0.25,3,3,0,0
5651,5.552083333,6.6875,0.625,0.75,3,2,0,0
5717,7.072916667,5.166666667,0.875,0.5,2,2,0,0
5718,0.510416667,2.270833333,0.125,0.25,2,2,0,0
5720,4.15625,7.802083333,0.375,0.625,3,3,0,0
5726,3.40625,2.895833333,0.375,0.25,2,2,0,0
5741,4.53125,5.791666667,0.375,0.5,3,2,0,0
5748,10.3125,12.1875,0.75,0.75,2,4,0,0
5757,6.166666667,2.895833333,0.5,0.25,2,2,0,0
5768,2.270833333,4.927083333,0.25,0.625,3,2,0,0
5772,7.802083333,10.33333333,0.625,1,2,2,0,0
5776,8.322916667,12.94791667,0.875,0.875,2,2,0,0
5779,5.761904762,10.94791667,0.571428571,0.875,2,2,0,0
5784,11.1875,10.9375,0.75,0.75,3,3,0,0
5798,5.052083333,6.447916667,0.625,0.875,2,2,0,0
5800,5.90625,6.03125,0.375,0.375,2,1,0,0
5811,1.885416667,3.520833333,0.125,0.25,2,2,0,0
5822,1.520833333,1.760416667,0.25,0.125,1,1,0,0
5830,2.770833333,2.270833333,0.25,0.25,1,1,0,0
5831,0.260416667,0,0.125,0,1,0,0,0
5832,7.677083333,0,0.375,0,1,0,0,0
5836,16.60416667,14.85416667,0.875,1,1,1,0,0
5837,15.20833333,12.94791667,1,0.875,3,2,0,0
5856,11.0625,5.361111111,0.75,0.333333333,1,1,0,0
5860,7.5625,5.677083333,0.75,0.625,1,1,0,0
5865,2.010416667,6.791666667,0.125,0.375,2,3,0,0
5867,10.5625,16.08333333,0.75,1,2,4,0,0
5874,5.78125,7.802083333,0.375,0.625,2,2,0,0
5890,7.177083333,13.57291667,0.625,0.875,1,2,0,0
5893,7.552083333,8.302083333,0.625,0.5,1,2,0,0
5907,4.291666667,6.041666667,0.5,0.5,2,2,0,0
5921,16.33333333,17.35416667,1,1,1,2,0,0
5950,4.020833333,15.84375,0.25,1,2,3,0,0
5984,11.0625,13.44791667,0.75,0.875,3,4,0,0
5993,8.552083333,11.3125,0.625,0.75,3,2,0,0
6008,2.135416667,4.145833333,0.125,0.25,4,4,0,0
6009,0,2.010416667,0,0.125,0,1,0,0
6010,1.635416667,0.260416667,0.125,0.125,2,1,0,0
6011,2.135416667,9.5625,0.125,0.75,1,1,0,0
6012,10.4375,3.15625,0.75,0.375,1,1,0,0
6013,0,1.885416667,0,0.125,0,1,0,0
6016,1.385416667,2.770833333,0.125,0.25,1,1,0,0
6017,3.770833333,5.416666667,0.25,0.5,2,2,0,0
6019,0,4.90625,0,0.375,0,2,0,0
6020,10.3125,3.270833333,0.75,0.25,2,2,0,0
6021,7.177083333,5.15625,0.625,0.375,1,1,0,0
6022,6.416666667,8.177083333,0.5,0.625,2,2,0,0
6023,8.052083333,10.0625,0.625,0.75,2,2,0,0
6024,7.427083333,7.677083333,0.5,0.375,1,1,0,0
6025,6.791666667,3.645833333,0.5,0.25,3,3,0,0
6030,7.791666667,7.291666667,0.5,0.5,1,2,0,0
6034,5.40625,8.302083333,0.375,0.625,2,1,0,0
6035,3.645833333,1.885416667,0.25,0.125,3,2,0,0
6036,2.010416667,0,0.125,0,2,0,0,0
6038,0.770833333,5.666666667,0.25,0.5,1,3,0,0
6039,2.40625,2.395833333,0.375,0.25,2,3,0,0
6040,1.260416667,7.927083333,0.125,0.625,1,3,0,0
6041,2.895833333,2.770833333,0.25,0.25,3,2,0,0
6042,4.270833333,2.010416667,0.25,0.125,4,4,0,0
6043,4.666666667,7.541666667,0.5,0.5,2,3,0,0
6046,4.916666667,6.041666667,0.375,0.5,2,2,0,0
6064,0.135416667,0,0.125,0,1,0,0,0
6069,7.302083333,2.770833333,0.5,0.25,1,2,0,0
6070,1.15625,6.052083333,0.375,0.625,1,1,0,0
6071,5.791666667,4.53125,0.5,0.375,1,1,0,0
6073,3.28125,4.166666667,0.375,0.5,2,2,0,0
6074,1.520833333,1.770833333,0.25,0.25,2,2,0,0
6076,6.177083333,2.90625,0.625,0.375,2,2,0,0
6077,0,6.916666667,0,0.5,0,1,0,0
6085,2.770833333,4.145833333,0.25,0.25,1,1,0,0
6086,7.541666667,4.020833333,0.5,0.25,2,2,0,0
6087,7.166666667,5.40625,0.5,0.375,3,2,0,0
6088,8.052083333,6.677083333,0.625,0.625,3,3,0,0
6090,11.3125,4.28125,0.625,0.375,1,1,0,0
6091,3.520833333,4.40625,0.25,0.375,1,1,0,0
