mac,mean_distance
11,491.67685316522295
17,741.7978623440389
147,3171.1672178482077
44,1432.9558269245656
41,3081.4277192820787
25,1765.1012806102035
84,1715.7860737275955
34,1112.5941019731674
98,1394.699192541595
25,1281.9770434988015
71,2182.4542683621085
23,831.1948204166304
12,1426.5629398338922
13,135.84258836199135
10,3050.055366733355
7,2027.449927242097
181,1429.430315152759
45,2424.8956389938603
51,205.6713202755912
11,820.309638315189
15,2921.554752032652
40,3083.450550453617
24,2135.722765231031
27,1807.512919726438
48,2470.246497383839
72,1014.691422036252
12,405.08784254440104
74,2865.8077893963155
26,1050.4662778995635
80,2735.477170234096
94,2654.39242652475
13,323.5141319521163
22,1142.1023134241227
181,3855.916731730643
43,2215.1190843703107
38,141.74675506820628
16,2233.2622151815026
21,2225.019360270662
18,908.8756776909744
113,1827.852218969997
96,2395.6588687921667
146,3289.4067633739037
13,739.9188540765964
154,1443.2121748870936
31,2369.7322059637195
9,1850.5698458586448
35,2173.209619720582
25,1559.09721545412
26,2589.9160098878006
139,2316.1595743819344
11,198.26173666408164
38,938.3162576935965
91,1673.1099737063391
98,3142.162334493168
20,1120.0692721033236
123,1314.5143151636514
67,1756.4047468805934
23,1666.0553117136553
144,2396.3625056488054
11,591.2864471143452
12,963.6618765784451
40,1678.991369817034
8,122.72843748513644
160,1794.8573463411865
34,1023.1976168603
14,1150.6309489392495
39,1025.1694938733085
22,2557.1026296020264
33,2148.343733729758
13,2086.5356216183814
32,1842.196299515673
22,3387.4686591069685
20,2551.3230398667715
10,1986.5732982241086
189,1522.8123911078685
14,1077.493314960289
19,1796.5388645273722
18,1907.76719590576
29,2145.1416702909637
28,1042.6597671255697
117,2815.386576829238
30,1064.7726281937496
33,1793.971058680342
49,2282.7748680590616
139,1738.1065470609897
14,44.37984454753773
14,1696.0532796807647
37,377.8177554478165
33,1436.0566783352022
105,1527.8663411771622
29,975.3382216724154
15,843.0391304371923
22,531.8483872446707
113,2839.783559643544
146,3746.168798994231
44,2264.6856726190495
11,1922.9358558780707
15,2747.0799145466244
27,2154.156153321992
12,1051.8753121109626
170,1645.23347225029
40,1445.141888692947
75,2641.8812751436467
13,2948.991972404014
96,680.6643682117231
180,1731.7664776147033
13,274.54149232344247
19,2213.555851233393
44,2308.875234943278
14,2059.1269760690043
16,357.17075525672675
16,103.02141259591541
44,1277.8150462606025
172,1659.9412253698713
19,1871.9155590784626
19,606.1324608775733
28,2960.1035790739497
174,1946.3850445362418
55,1925.0203759171884
26,1935.2694184418604
14,919.4012754269938
12,2868.4562226470966
18,893.535741324543
27,2302.2008760941226
17,1110.4855426815157
55,2167.413861618706
96,2055.4798373782023
173,1889.813751592759
32,1992.7902367930471
21,570.521006013966
46,1059.6762918140955
33,1741.156322837832
54,1315.6177608891126
132,1224.3834408256882
27,2292.8471153068945
98,1202.4535567795103
35,1801.2837467189436
96,1646.4033689578814
10,847.4537030911225
12,2336.001415445907
61,2713.5808527478093
16,973.2367691176386
26,1384.3510663592792
24,607.0253696476914
71,2711.2828025402446
18,1140.8631066242485
22,1424.9675532455108
45,1526.2553149909718
138,3802.7153408159575
18,906.7362302144742
15,1698.903121282474
157,2319.3916321552933
59,2732.147203059674
169,1950.2819051898407
36,1226.1994305205628
37,2185.1277871744583
56,1052.7784486939015
23,1175.0231930184539
96,3999.59400466495
12,3158.3599063791953
137,2575.0908175514724
63,2997.2566227221255
46,2896.9541913173553
36,1230.6952191382206
50,1607.896226171234
26,1554.1159835712779
14,3347.3696282252577
81,3126.712626465144
11,61.5828628648447
17,1062.2291981294857
13,1252.8300859284423
142,1835.2276206695356
43,2092.619025336237
169,3547.584082760258
164,4936.040981402608
28,1176.8463324765037
36,1875.6750766806113
178,3777.4787202048033
15,1039.13914648522
74,2230.6087552999193
47,1698.369847784981
179,1790.0572194270708
29,998.8496685421823
123,1704.9549418657518
106,2562.679053903831
10,765.8968833387742
30,609.6789873230972
151,3972.2630290909538
11,53.51905662816371
136,1743.8386278591543
18,1893.8807407126105
12,664.1253475180417
22,2142.067465973242
12,494.9613800213271
112,1629.1623368955147
13,990.2905632174015
15,3731.6726767588907
61,2637.6952613565295
62,1167.1095736406055
31,415.74693362882437
52,922.5979454010848
11,1984.2305741471473
31,321.6710093036484
45,1350.01731553409
11,1425.4836258099544
18,3116.9834291707384
18,415.9682932290579
10,4080.1299992828867
105,1336.6781696911792
154,4079.3763341755066
13,1807.4358583150442
134,1593.3674460305767
57,1359.496478467919
34,2347.844129370988
56,1012.7881178013727
159,1960.0503189527221
12,3171.38861569649
91,1210.6447010210377
11,1454.5202843196173
131,2288.4140167614823
28,1136.1022679154578
10,1352.9025791490483
40,1311.6519279371703
11,1292.8505570034463
162,1871.8406194440129
161,1608.56134066757
31,3218.5988208802137
65,1721.6521118341068
23,2102.45716844649
45,1735.1090118980615
72,1427.4715567694682
12,995.2413232462603
17,618.3262803129032
17,2513.040452493344
13,2745.1294984616325
15,1632.0391856554309
80,3045.650200825449
23,376.02517786908425
31,909.4949232781969
29,2105.3116858483336
140,3612.866785046532
21,1613.7410000591371
28,419.67114940435465
120,1746.4368851374247
13,3896.913183805392
11,1012.6182766362367
36,420.3798062598173
176,1865.0159426069056
99,2061.9827444797324
20,2982.789252183409
31,1287.9623845378646
147,1960.8637167217832
11,453.3751535201985
50,1769.2903370768265
54,1538.5535689329197
11,41.16379519322079
67,1946.4924935496701
82,613.4644824178383
44,2743.315393062758
94,2672.9035229412184
27,586.9919605843526
10,2294.8726969361323
16,1240.0888427770453
36,1935.8557055510698
32,1579.9897694607773
81,1429.902809802492
21,2200.878243856413
12,934.223479807548
61,1077.8058069055828
13,209.4057960389197
18,853.6921465018931
27,624.3518275669957
9,1448.1712333832447
63,1215.2182152181467
33,1266.2316661142443
17,2545.8258924859215
11,872.5332356123138
16,1119.4054337963253
56,2455.3818755126463
19,3726.0955807683536
144,2451.6203319622537
80,747.5575088211813
25,668.579442658612
63,2433.8410249874005
158,2390.3261712233934
43,1618.2079465434676
139,3382.3493546287436
30,432.62263721997374
12,459.91769330248815
13,3199.1513404554785
53,1401.2426893453217
131,2732.3763769709935
75,1296.7253462227588
13,478.49851349112
20,1131.9677588090613
14,645.3746019443514
16,1604.7565209365378
141,1355.0372106002008
30,1605.0346664627984
18,1265.4830139095327
141,2219.8138215702384
53,701.3648240826745
13,1357.720420282285
41,3483.6922857941304
56,1879.7014581990386
34,1215.6416100968538
62,1755.1725131011713
21,1198.8532088429217
67,2112.9018697724496
17,320.57569201197674
38,1678.4267192348293
23,2680.5865873370894
37,308.0310241487021
156,1716.3980434418293
22,892.5255542612118
31,720.1560163361677
179,2119.315952839132
36,1180.8511596481299
40,3280.8559528496457
128,2009.0257129714596
62,970.2632248613075
18,1331.2827289644777
34,2240.831344346667
24,2412.213612873343
123,2563.305379169367
156,2412.744824380355
11,277.9382731891403
177,3073.7298333768413
87,2783.007343686028
80,1816.430745616595
18,1117.7462986314454
22,261.8894275671962
47,1690.4733152803058
60,2295.9166647530487
26,992.4185297710882
10,124.54706242606262
14,719.55852911147
28,865.7099797452887
114,2171.057740468362
13,1858.3246309399874
17,495.38893003975727
23,1388.3271909261389
117,1471.9567765845684
18,1606.7544321361208
44,2330.60821539493
74,3283.9789965589375
135,2430.008904400385
40,2255.1467645682137
16,967.3580812188428
117,3324.7333096625257
25,2126.144036348848
78,1111.3788843935413
25,2235.6852000058257
13,1993.851636794677
27,2141.7208422613216
74,2339.8030805331846
10,1353.3592518891007
86,1792.411499611865
25,1167.6596030049973
79,2324.5933737955497
42,1077.9209344499034
51,2508.4907267495078
13,3899.868911943606
22,2627.5983817300444
26,1500.9479777465815
113,1582.9434125579332
113,2766.783788601853
34,1465.831983130178
13,1474.032977755739
14,978.3023085749451
17,3337.413928245745
104,1363.4659090609773
41,1848.9830274744684
19,1264.5766849838383
22,889.9848440543973
139,1444.5111315225274
142,1555.051394081706
27,1923.9587048563465
18,859.3930789301047
128,1494.4504006746465
17,547.7821822985097
19,1317.4791366214092
33,1058.4644490261308
177,1559.369863996076
13,746.6969460721041
71,1625.258816896964
45,703.2075212009486
13,1192.1264805054468
175,2449.8387733624095
98,2645.991719719125
19,2936.0373741020053
10,942.307062152505
31,107.10967358867178
38,1089.9459812825282
14,892.4688951402906
49,1226.234921340376
50,1351.1874625014887
43,2297.7856872848893
15,3539.139028374344
22,2487.623475517017
19,2388.568411040518
117,2707.8263935887862
129,2195.6305129446337
13,1643.495551400882
